
Processing staticRatio benchmark.


Configuration for benchmark run:

	testType: static
	testSize: 1000
	testIterations: 50
	degreeOfParallelism: 10
	sleepInterval: 0

Configuration for testCase1:

	ratioOfMethods: 
		getItem: 80
		add: 9
		contains: 2
		remove: 9
		clear: 1
threadId	end time	iter #		avg		min		max		
1		10:47:06	32		0.000030	0.000007	0.000083
4		10:47:06	27		0.000028	0.000003	0.000104
6		10:47:06	23		0.000040	0.000006	0.000108
10		10:47:06	19		0.000035	0.000007	0.000151
7		10:47:06	24		0.000039	0.000004	0.000213
8		10:47:06	21		0.000037	0.000004	0.000142
7		10:47:06	25		0.000037	0.000004	0.000213
9		10:47:06	21		0.000039	0.000004	0.000260
2		10:47:06	23		0.000041	0.000004	0.000245
4		10:47:06	28		0.000027	0.000003	0.000104
6		10:47:06	24		0.000040	0.000006	0.000108
10		10:47:06	20		0.000034	0.000007	0.000151
6		10:47:06	25		0.000039	0.000006	0.000108
6		10:47:06	26		0.000037	0.000003	0.000108
2		10:47:06	24		0.000040	0.000004	0.000245
5		10:47:06	21		0.000040	0.000007	0.000152
1		10:47:06	33		0.000031	0.000007	0.000083
5		10:47:06	22		0.000039	0.000007	0.000152
1		10:47:06	34		0.000031	0.000007	0.000083
6		10:47:06	27		0.000036	0.000003	0.000108
2		10:47:06	25		0.000040	0.000004	0.000245
8		10:47:06	22		0.000037	0.000004	0.000142
7		10:47:06	26		0.000037	0.000004	0.000213
8		10:47:06	23		0.000036	0.000004	0.000142
10		10:47:06	21		0.000033	0.000007	0.000151
5		10:47:06	23		0.000039	0.000007	0.000152
4		10:47:06	29		0.000026	0.000003	0.000104
5		10:47:06	24		0.000038	0.000007	0.000152
5		10:47:06	25		0.000036	0.000004	0.000152
1		10:47:06	35		0.000031	0.000007	0.000083
10		10:47:06	22		0.000032	0.000007	0.000151
3		10:47:06	28		0.000038	0.000003	0.000269
4		10:47:06	30		0.000026	0.000003	0.000104
9		10:47:06	22		0.000042	0.000004	0.000260
4		10:47:06	31		0.000025	0.000003	0.000104
6		10:47:06	28		0.000036	0.000003	0.000108
2		10:47:06	26		0.000038	0.000004	0.000245
1		10:47:06	36		0.000032	0.000007	0.000083
2		10:47:06	27		0.000037	0.000004	0.000245
7		10:47:06	27		0.000037	0.000004	0.000213
3		10:47:06	29		0.000037	0.000003	0.000269
7		10:47:06	28		0.000036	0.000004	0.000213
4		10:47:06	32		0.000024	0.000003	0.000104
6		10:47:06	29		0.000036	0.000003	0.000108
1		10:47:06	37		0.000031	0.000007	0.000083
9		10:47:06	23		0.000043	0.000004	0.000260
7		10:47:06	29		0.000036	0.000004	0.000213
8		10:47:06	24		0.000034	0.000004	0.000142
10		10:47:06	23		0.000033	0.000007	0.000151
2		10:47:06	28		0.000037	0.000004	0.000245
1		10:47:06	38		0.000031	0.000007	0.000083
4		10:47:06	33		0.000026	0.000003	0.000104
7		10:47:06	30		0.000036	0.000004	0.000213
6		10:47:06	30		0.000037	0.000003	0.000108
2		10:47:06	29		0.000036	0.000004	0.000245
9		10:47:06	24		0.000044	0.000004	0.000260
10		10:47:06	24		0.000034	0.000007	0.000151
7		10:47:06	31		0.000035	0.000004	0.000213
3		10:47:06	30		0.000038	0.000003	0.000269
8		10:47:06	25		0.000035	0.000004	0.000142
6		10:47:06	31		0.000037	0.000003	0.000108
2		10:47:06	30		0.000035	0.000004	0.000245
4		10:47:06	34		0.000027	0.000003	0.000104
2		10:47:06	31		0.000034	0.000004	0.000245
7		10:47:06	32		0.000034	0.000004	0.000213
3		10:47:06	31		0.000038	0.000003	0.000269
3		10:47:06	32		0.000037	0.000003	0.000269
9		10:47:06	25		0.000043	0.000004	0.000260
10		10:47:06	25		0.000036	0.000007	0.000151
2		10:47:06	32		0.000033	0.000004	0.000245
10		10:47:06	26		0.000035	0.000007	0.000151
1		10:47:06	39		0.000033	0.000007	0.000106
10		10:47:06	27		0.000034	0.000007	0.000151
5		10:47:06	26		0.000041	0.000004	0.000169
9		10:47:06	26		0.000043	0.000004	0.000260
8		10:47:06	26		0.000034	0.000004	0.000142
2		10:47:06	33		0.000033	0.000004	0.000245
3		10:47:06	33		0.000037	0.000003	0.000269
1		10:47:06	40		0.000033	0.000007	0.000106
3		10:47:06	34		0.000036	0.000003	0.000269
5		10:47:06	27		0.000040	0.000004	0.000169
4		10:47:06	35		0.000027	0.000003	0.000104
6		10:47:06	32		0.000039	0.000003	0.000108
8		10:47:06	27		0.000034	0.000004	0.000142
7		10:47:06	33		0.000036	0.000004	0.000213
3		10:47:06	35		0.000035	0.000003	0.000269
4		10:47:06	36		0.000027	0.000003	0.000104
2		10:47:06	34		0.000033	0.000004	0.000245
7		10:47:06	34		0.000035	0.000003	0.000213
9		10:47:06	27		0.000044	0.000004	0.000260
8		10:47:06	28		0.000033	0.000004	0.000142
6		10:47:06	33		0.000039	0.000003	0.000108
3		10:47:06	36		0.000035	0.000003	0.000269
6		10:47:06	34		0.000038	0.000003	0.000108
1		10:47:06	41		0.000034	0.000007	0.000106
5		10:47:06	28		0.000041	0.000004	0.000169
8		10:47:06	29		0.000032	0.000004	0.000142
4		10:47:06	37		0.000027	0.000003	0.000104
2		10:47:06	35		0.000033	0.000004	0.000245
10		10:47:06	28		0.000036	0.000007	0.000151
2		10:47:06	36		0.000032	0.000004	0.000245
10		10:47:06	29		0.000035	0.000007	0.000151
10		10:47:06	30		0.000034	0.000007	0.000151
8		10:47:06	30		0.000033	0.000004	0.000142
7		10:47:06	35		0.000036	0.000003	0.000213
6		10:47:06	35		0.000038	0.000003	0.000108
7		10:47:06	36		0.000036	0.000003	0.000213
1		10:47:06	42		0.000034	0.000007	0.000106
5		10:47:06	29		0.000041	0.000004	0.000169
10		10:47:06	31		0.000034	0.000007	0.000151
6		10:47:06	36		0.000037	0.000003	0.000108
10		10:47:06	32		0.000033	0.000007	0.000151
6		10:47:06	37		0.000036	0.000003	0.000108
9		10:47:06	28		0.000043	0.000004	0.000260
3		10:47:06	37		0.000036	0.000003	0.000269
5		10:47:06	30		0.000042	0.000004	0.000169
4		10:47:06	38		0.000030	0.000003	0.000120
7		10:47:06	37		0.000035	0.000003	0.000213
6		10:47:06	38		0.000036	0.000003	0.000108
2		10:47:06	37		0.000035	0.000004	0.000245
8		10:47:06	31		0.000033	0.000004	0.000142
2		10:47:06	38		0.000034	0.000004	0.000245
8		10:47:06	32		0.000032	0.000004	0.000142
4		10:47:06	39		0.000030	0.000003	0.000120
10		10:47:06	33		0.000033	0.000007	0.000151
6		10:47:06	39		0.000036	0.000003	0.000108
3		10:47:06	38		0.000037	0.000003	0.000269
1		10:47:06	43		0.000037	0.000007	0.000137
5		10:47:06	31		0.000043	0.000004	0.000169
1		10:47:06	44		0.000036	0.000007	0.000137
10		10:47:06	34		0.000032	0.000007	0.000151
2		10:47:06	39		0.000035	0.000004	0.000245
8		10:47:06	33		0.000031	0.000004	0.000142
4		10:47:06	40		0.000031	0.000003	0.000120
7		10:47:06	38		0.000036	0.000003	0.000213
5		10:47:06	32		0.000042	0.000004	0.000169
10		10:47:06	35		0.000032	0.000007	0.000151
2		10:47:06	40		0.000034	0.000004	0.000245
8		10:47:06	34		0.000031	0.000004	0.000142
1		10:47:06	45		0.000036	0.000007	0.000137
6		10:47:06	40		0.000037	0.000003	0.000108
1		10:47:06	46		0.000035	0.000007	0.000137
3		10:47:06	39		0.000037	0.000003	0.000269
10		10:47:06	36		0.000032	0.000007	0.000151
4		10:47:06	41		0.000031	0.000003	0.000120
2		10:47:06	41		0.000034	0.000004	0.000245
5		10:47:06	33		0.000044	0.000004	0.000169
6		10:47:06	41		0.000036	0.000003	0.000108
9		10:47:06	29		0.000049	0.000004	0.000260
1		10:47:06	47		0.000036	0.000007	0.000137
10		10:47:06	37		0.000031	0.000006	0.000151
4		10:47:06	42		0.000032	0.000003	0.000120
7		10:47:06	39		0.000035	0.000003	0.000213
2		10:47:06	42		0.000033	0.000004	0.000245
5		10:47:06	34		0.000044	0.000004	0.000169
3		10:47:06	40		0.000039	0.000003	0.000269
1		10:47:06	48		0.000036	0.000006	0.000137
10		10:47:06	38		0.000030	0.000006	0.000151
7		10:47:06	40		0.000035	0.000003	0.000213
7		10:47:06	41		0.000035	0.000003	0.000213
7		10:47:06	42		0.000034	0.000003	0.000213
7		10:47:06	43		0.000033	0.000003	0.000213
9		10:47:06	30		0.000050	0.000004	0.000260
8		10:47:06	35		0.000032	0.000004	0.000142
3		10:47:06	41		0.000040	0.000003	0.000269
3		10:47:06	42		0.000039	0.000003	0.000269
5		10:47:06	35		0.000043	0.000004	0.000169
6		10:47:06	42		0.000037	0.000003	0.000108
7		10:47:06	44		0.000033	0.000003	0.000213
9		10:47:06	31		0.000051	0.000004	0.000260
1		10:47:06	49		0.000036	0.000006	0.000137
4		10:47:06	43		0.000032	0.000003	0.000120
10		10:47:06	39		0.000031	0.000006	0.000151
4		10:47:06	44		0.000031	0.000003	0.000120
8		10:47:06	36		0.000033	0.000004	0.000142
4		10:47:06	45		0.000031	0.000003	0.000120
3		10:47:06	43		0.000039	0.000003	0.000269
4		10:47:06	46		0.000030	0.000003	0.000120
4		10:47:06	47		0.000030	0.000003	0.000120
1		10:47:06	50		0.000037	0.000006	0.000137
8		10:47:06	37		0.000033	0.000004	0.000142
6		10:47:06	43		0.000039	0.000003	0.000108
